Row,Grid type,Cell spacing $r$,Cell kernel,Cell scale $\ESCAPE\alpha$,Bin count $n$,Bin kernel,Bin scale $\ESCAPE\beta$,Normalization scale $\ESCAPE\eta$
GO,Square,1.6,Box,3.3,15,Tri,1,6
SI,Square,1.6,Box,3.5,9,Box,1.5,5
